City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
96,yima,34.7381,111.8839,20.95,17,13,6.42,CN
97,atambua,-9.1061,124.8925,74.73,88,100,1.3,ID
98,lorengau,-2.0226,147.2712,78.82,82,100,3.09,PG
99,saldanha,-33.0117,17.9442,66.11,62,87,16.73,ZA
100,guerrero negro,27.9769,-114.0611,50.45,42,34,4.0,MX
101,dolores,-36.3132,-57.6792,80.08,40,10,10.22,AR
102,dhidhdhoo,6.8833,73.1,77.92,75,100,1.3,MV
103,unai,-16.3575,-46.9061,75.81,78,96,4.92,BR
104,tagbac,7.089,125.1567,70.32,97,100,3.29,PH
105,provideniya,64.3833,-173.3,-5.84,87,2,11.5,RU
106,haines junction,60.7522,-137.5108,17.11,98,56,1.61,CA
107,paita,-5.0892,-81.1144,69.62,80,85,6.33,PE
108,barrow,71.2906,-156.7887,-5.78,77,100,24.16,US
109,camacha,33.0833,-16.3333,60.22,59,75,12.66,PT
110,hualmay,-11.0964,-77.6139,70.09,81,100,6.04,PE
111,adrar,20.5022,-10.0711,76.84,11,0,8.72,MR
112,iqaluit,63.7506,-68.5145,-4.86,98,100,2.24,CA
113,newcastle,-32.9272,151.7765,73.81,88,40,1.14,AU
114,porto novo,6.4965,2.6036,91.99,49,19,8.99,BJ
115,lagoa,39.05,-27.9833,59.56,77,99,17.25,PT
116,severo-kurilsk,50.6789,156.125,18.34,64,66,10.92,RU
117,moree,-29.4667,149.85,80.85,28,23,7.81,AU
118,aykhal,66.0,111.5,-18.36,93,100,4.25,RU
119,nador,35.174,-2.9287,48.45,76,75,6.91,MA
120,arraial do cabo,-22.9661,-42.0278,78.66,83,75,5.75,BR
121,ambilobe,-13.2,49.05,73.98,95,100,5.68,MG
122,pontianak,-0.0333,109.3333,80.58,83,75,10.36,ID
123,hamilton,39.1834,-84.5333,31.55,90,97,1.99,US
124,abbeville,50.1,1.8333,38.25,78,24,11.07,FR
125,bambous virieux,-20.3428,57.7575,79.05,83,75,5.75,MU
126,waddan,29.1614,16.139,73.11,13,70,12.39,LY
127,san patricio,28.017,-97.5169,69.66,96,100,12.24,US
128,rudnyy,52.9594,63.1206,10.63,98,17,5.61,KZ
129,saint george,37.1041,-113.5841,32.25,71,0,1.99,US
130,kalininskaya,45.4822,38.6628,44.8,50,4,10.38,RU
131,berekum,7.4534,-2.584,93.61,37,47,3.65,GH
132,kouroussa,10.65,-9.8833,94.68,17,52,4.34,GN
133,ostrovnoy,68.0531,39.5131,24.76,85,66,21.54,RU
134,modugno,41.0974,16.778,53.31,69,0,5.75,IT
135,inhambane,-23.865,35.3833,87.51,54,98,14.25,MZ
136,lebu,-37.6167,-73.65,58.06,86,47,10.09,CL
137,new norfolk,-42.7826,147.0587,64.71,67,84,1.39,AU
138,medea,36.2642,2.7539,38.44,76,86,4.74,DZ
139,souillac,-20.5167,57.5167,79.18,83,75,5.75,MU
140,grindavik,63.8424,-22.4338,39.67,93,75,11.5,IS
141,hella,67.2,14.4333,39.34,67,75,21.85,NO
142,mushie,-3.0167,16.9,93.51,42,99,2.17,CD
143,esperance,-33.8667,121.9,70.66,69,22,20.07,AU
144,senno,59.5336,33.9167,24.26,95,100,10.36,RU
145,isangel,-19.55,169.2667,80.51,86,99,5.17,VU
146,dillon,34.4166,-79.3712,31.24,73,0,1.54,US
147,ribeira grande,38.5167,-28.7,62.78,82,40,18.41,PT
148,vestmannaeyjar,63.4427,-20.2734,43.79,81,75,20.71,IS
149,ampanihy,-24.7,44.75,88.83,46,100,16.58,MG
150,arman,59.7,150.1667,-13.05,83,100,13.4,RU
151,pevek,69.7008,170.3133,-14.75,74,88,1.99,RU
152,mount vernon,40.9126,-73.8371,37.42,70,28,11.99,US
153,teguise,29.0605,-13.564,62.82,59,20,20.71,ES
154,yuncheng,35.0231,110.9928,19.0,24,14,7.18,CN
155,khandbari,27.3747,87.2039,57.92,57,14,0.89,NP
